Site,Plot,Name,Point,Original_Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
E,CO,ECOS5,b,ECOS5_b,,,,,subplot,-105.5862853,40.0537379,3501.385,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:45:10.6 UTC-06:00,2023-09-28 10:45:10.6 UTC-06:00,1,1.8,,,,-105.5861613,40.05378974,3503.092,12.048,Global CS,
E,CO,ECOS5,c,ECOS5_c,,,,,subplot,-105.5862814,40.05372843,3501.112,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:45:25.0 UTC-06:00,2023-09-28 10:45:25.0 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,12.303,Global CS,
E,CO,ECOS5,d,ECOS5_d,,,,,subplot,-105.5862765,40.0537318,3501.158,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:45:34.8 UTC-06:00,2023-09-28 10:45:34.8 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,11.754,Global CS,
E,CO,ECOS2,a,ECOS2_a,,,,,subplot,-105.5862363,40.05365709,3499.388,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:46:04.2 UTC-06:00,2023-09-28 10:46:04.2 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,16.164,Global CS,
E,CO,ECOS2,b,ECOS2_a1,,,,,subplot,-105.5862323,40.05366053,3499.352,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:46:11.0 UTC-06:00,2023-09-28 10:46:11.0 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,15.686,Global CS,
E,CO,ECOS2,c,ECOS2_a2,,,,,subplot,-105.5862287,40.05365084,3499.144,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:46:19.8 UTC-06:00,2023-09-28 10:46:19.8 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,16.589,Global CS,
E,CO,ECOS2,d,ECOS2_a3,,,,,subplot,-105.5862247,40.05365394,3499.099,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:46:24.0 UTC-06:00,2023-09-28 10:46:24.0 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,16.157,Global CS,
E,CO,ECOS6,a,ECOS6_a,,,,,subplot,-105.5862178,40.05366898,3499.221,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:46:43.8 UTC-06:00,2023-09-28 10:46:43.8 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,14.385,Global CS,
E,CO,ECOS6,b,ECOS6_a1,,,,,subplot,-105.5862135,40.05367202,3499.206,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:46:51.0 UTC-06:00,2023-09-28 10:46:51.0 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,13.952,Global CS,
E,CO,ECOS6,c,ECOS6_a2,,,,,subplot,-105.5862103,40.05366255,3498.994,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:46:56.8 UTC-06:00,2023-09-28 10:46:56.8 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,14.893,Global CS,
E,CO,ECOS6,d,ECOS6_a3,,,,,subplot,-105.5862056,40.0536653,3499.012,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:47:00.2 UTC-06:00,2023-09-28 10:47:00.2 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,14.492,Global CS,
E,CO,ECOS3,a,ECOS3_a,,,,,subplot,-105.5861613,40.05360124,3497.039,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:47:21.0 UTC-06:00,2023-09-28 10:47:21.0 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,21.343,Global CS,
E,CO,ECOS3,b,ECOS3_a1,,,,,subplot,-105.5861569,40.05360416,3497.066,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:47:25.2 UTC-06:00,2023-09-28 10:47:25.2 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,21.022,Global CS,
E,CO,ECOS3,c,ECOS3_a2,,,,,subplot,-105.5861538,40.05359504,3496.864,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:47:30.6 UTC-06:00,2023-09-28 10:47:30.6 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,22.062,Global CS,
E,CO,ECOS3,d,ECOS3_a3,,,,,subplot,-105.5861497,40.05359751,3496.928,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:47:34.0 UTC-06:00,2023-09-28 10:47:34.0 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,21.794,Global CS,
E,CO,ECOS7,a,ECOS7_a,,,,,subplot,-105.5861362,40.0536075,3496.986,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:47:48.6 UTC-06:00,2023-09-28 10:47:48.6 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,20.782,Global CS,
E,CO,ECOS7,b,ECOS7_a1,,,,,subplot,-105.5861327,40.05361093,3496.994,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:47:52.8 UTC-06:00,2023-09-28 10:47:52.8 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,20.443,Global CS,
E,CO,ECOS7,c,ECOS7_a2,,,,,subplot,-105.586129,40.0536017,3496.821,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:47:58.8 UTC-06:00,2023-09-28 10:47:58.8 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,21.515,Global CS,
E,CO,ECOS7,d,ECOS7_a3,,,,,subplot,-105.5861252,40.05360444,3496.9,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:48:02.4 UTC-06:00,2023-09-28 10:48:02.4 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,21.247,Global CS,
E,CO,ECOS4,a,ECOS4_a,,,,,subplot,-105.5860745,40.05353193,3494.319,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:48:26.8 UTC-06:00,2023-09-28 10:48:26.8 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,30.366,Global CS,
E,CO,ECOS4,b,ECOS4_a1,,,,,subplot,-105.5860704,40.05353465,3494.291,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:48:30.8 UTC-06:00,2023-09-28 10:48:30.8 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,30.176,Global CS,
E,CO,ECOS4,c,ECOS4_a2,,,,,subplot,-105.5860672,40.05352619,3493.959,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:48:37.4 UTC-06:00,2023-09-28 10:48:37.4 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,31.204,Global CS,
E,CO,ECOS4,d,ECOS4_a3,,,,,subplot,-105.586063,40.05352908,3493.941,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:48:40.4 UTC-06:00,2023-09-28 10:48:40.4 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,31.003,Global CS,
E,CO,ECOS8,a,ECOS8_a,,,,,subplot,-105.5860626,40.05354033,3494.202,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:48:57.0 UTC-06:00,2023-09-28 10:48:57.0 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,29.787,Global CS,
E,CO,ECOS8,b,ECOS8_a1,,,,,subplot,-105.5860585,40.05354309,3494.228,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:49:01.4 UTC-06:00,2023-09-28 10:49:01.4 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,29.597,Global CS,
E,CO,ECOS8,c,ECOS8_a2,,,,,subplot,-105.5860548,40.05353463,3493.974,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:49:05.6 UTC-06:00,2023-09-28 10:49:05.6 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,30.619,Global CS,
E,CO,ECOS8,d,ECOS8_a3,,,,,subplot,-105.5860508,40.0535372,3493.978,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:49:09.4 UTC-06:00,2023-09-28 10:49:09.4 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,30.459,Global CS,
E,CO,ECWC,c,ECWC,,,,,itex,-105.5860361,40.05357488,3494.706,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:59:44.6 UTC-06:00,2023-09-28 10:59:44.6 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,26.939,Global CS,
E,CO,ECWC,b,ECWC1,,,,,itex,-105.586035,40.05358835,3494.983,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:59:52.6 UTC-06:00,2023-09-28 10:59:52.6 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,25.595,Global CS,
E,CO,ECCC,c,ECCC,,,,,itex,-105.5860227,40.05358506,3494.748,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:00:04.8 UTC-06:00,2023-09-28 11:00:04.8 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,26.425,Global CS,
E,CO,ECCC,b,ECCC1,,,,,itex,-105.586021,40.05359864,3495.118,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:00:10.4 UTC-06:00,2023-09-28 11:00:10.4 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,25.117,Global CS,
E,CO,ECWB,c,ECWB,,,,,itex,-105.5860914,40.05360998,3496.401,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:00:31.0 UTC-06:00,2023-09-28 11:00:31.0 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,21.38,Global CS,
E,CO,ECWB,b,ECWB1,,,,,itex,-105.5860914,40.05362271,3496.796,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:00:36.8 UTC-06:00,2023-09-28 11:00:36.8 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,19.976,Global CS,
E,CO,ECCB,c,ECCB,,,,,itex,-105.5860756,40.05361938,3496.397,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:00:50.2 UTC-06:00,2023-09-28 11:00:50.2 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,20.843,Global CS,
E,CO,ECCB,b,ECCB1,,,,,itex,-105.5860739,40.05363333,3496.734,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:00:56.2 UTC-06:00,2023-09-28 11:00:56.2 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,19.423,Global CS,
E,CO,ECWA,c,ECWA,,,,,itex,-105.5862305,40.05373448,3500.798,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:01:34.6 UTC-06:00,2023-09-28 11:01:34.6 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,8.522,Global CS,
E,CO,ECWA,b,ECWA1,,,,,itex,-105.5862314,40.05374732,3501.055,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:01:40.8 UTC-06:00,2023-09-28 11:01:40.8 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,7.612,Global CS,
E,CO,ECCA,c,ECCA,,,,,itex,-105.5862184,40.05374391,3500.85,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:02:04.0 UTC-06:00,2023-09-28 11:02:04.0 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,7.051,Global CS,
E,CO,ECCA,b,ECCA1,,,,,itex,-105.5862151,40.05375743,3501.097,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:02:09.4 UTC-06:00,2023-09-28 11:02:09.4 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,5.828,Global CS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,ES,EES,a,EES1,,,,,plot,-105.5861635,40.05386196,3503.144,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-28 11:05:43.4 UTC-06:00,2023-09-28 11:05:43.4 UTC-06:00,1,1.5,,,,-105.5861613,40.05378974,3503.092,8.267,Global CS,
E,ES,EES,b,EES2,,,,,plot,-105.5860427,40.05391583,3503.115,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-28 11:05:56.2 UTC-06:00,2023-09-28 11:05:56.2 UTC-06:00,1,1.5,,,,-105.5861613,40.05378974,3503.092,17.396,Global CS,
E,ES,EES,c,EES3,,,,,plot,-105.5859034,40.05357435,3492.74,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:04:42.2 UTC-06:00,2023-09-28 11:04:42.2 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,33.591,Global CS,
E,ES,EES,d,EES4,,,,,plot,-105.5858048,40.05362128,3491.78,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-28 11:04:54.8 UTC-06:00,2023-09-28 11:04:54.8 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,36.943,Global CS,
E,ES,EEST1,top,EEST1_top,,,,,transect,-105.5861286,40.05387706,3502.902,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:54:10.4 UTC-06:00,2023-09-28 10:54:10.4 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,10.247,Global CS,
E,ES,EEST2,top,EEST2_top,,,,,transect,-105.5861099,40.05388588,3502.888,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:54:37.0 UTC-06:00,2023-09-28 10:54:37.0 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,11.678,Global CS,
E,ES,EEST1,bottom,EET1,,,,,transect,-105.5858901,40.05358087,3492.518,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:58:27.8 UTC-06:00,2023-09-28 10:58:27.8 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,33.902,Global CS,EEST1
E,ES,EEST2,bottom,EET2,,,,,transect,-105.5858692,40.05359078,3492.39,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:58:38.0 UTC-06:00,2023-09-28 10:58:38.0 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,34.46,Global CS,EEST2
E,ES,EES_soil,5,EES_soil1,,,,,soil ,-105.5860589,40.05384126,3501.309,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-28 11:06:25.6 UTC-06:00,2023-09-28 11:06:25.6 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,10.453,Global CS,
E,ES,EES_soil,6,EES_soil2,,,,,soil ,-105.5860031,40.05376423,3498.498,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:06:38.6 UTC-06:00,2023-09-28 11:06:38.6 UTC-06:00,1,1.5,,,,-105.5861613,40.05378974,3503.092,14.059,Global CS,
E,ES,EES_soil,7,EES_soil3,,,,,soil ,-105.5859481,40.05371108,3496.189,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-28 11:06:49.6 UTC-06:00,2023-09-28 11:06:49.6 UTC-06:00,1,1.5,,,,-105.5861613,40.05378974,3503.092,20.798,Global CS,
