Site,Plot,Name,Point,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
A,ES,AESS2,a,AESS2_a,,,,,subplot,-105.5905409,40.06135395,3458.573,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:28:38.0 UTC-06:00,2023-09-29 10:28:38.0 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,8.698,Global CS,
A,ES,AESS2,b,AESS2_a1,,,,,subplot,-105.5905444,40.06135736,3458.604,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:28:40.8 UTC-06:00,2023-09-29 10:28:40.8 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,9.17,Global CS,
A,ES,AESS2,c,AESS2_a2,,,,,subplot,-105.5905308,40.06135831,3458.358,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:28:44.0 UTC-06:00,2023-09-29 10:28:44.0 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,8.354,Global CS,
A,ES,AESS2,d,AESS2_a3,,,,,subplot,-105.5905335,40.06136242,3458.409,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:28:47.6 UTC-06:00,2023-09-29 10:28:47.6 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,8.846,Global CS,
A,ES,AESS6,a,AESS6_a,,,,,subplot,-105.5905438,40.06139085,3458.393,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:29:03.4 UTC-06:00,2023-09-29 10:29:03.4 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,11.815,Global CS,
A,ES,AESS6,b,AESS6_a1,,,,,subplot,-105.5905466,40.06139511,3458.424,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:29:07.4 UTC-06:00,2023-09-29 10:29:07.4 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,12.34,Global CS,
A,ES,AESS6,c,AESS6_a2,,,,,subplot,-105.5905328,40.06139468,3458.199,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:29:11.0 UTC-06:00,2023-09-29 10:29:11.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,11.628,Global CS,
A,ES,AESS6,d,AESS6_a3,,,,,subplot,-105.5905361,40.06139817,3458.195,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:29:15.8 UTC-06:00,2023-09-29 10:29:15.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,12.109,Global CS,
A,ES,AESS7,a,AESS7_a,,,,,subplot,-105.5904521,40.06142346,3456.381,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:29:44.8 UTC-06:00,2023-09-29 10:29:44.8 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,13.18,Global CS,
A,ES,AESS7,b,AESS7_a1,,,,,subplot,-105.5904555,40.06142693,3456.438,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:29:47.8 UTC-06:00,2023-09-29 10:29:47.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,13.543,Global CS,
