Site,Plot,Name,Point,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
A,CO,ACOS3,a,ACOS3_a,,,,,subplot,-105.5904159,40.06129793,3457.158,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:43:37.4 UTC-06:00,2023-09-29 10:43:37.4 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,4.008,Global CS,
A,CO,ACOS3,b,ACOS3_a1,,,,,subplot,-105.5904188,40.06130228,3457.102,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:43:40.6 UTC-06:00,2023-09-29 10:43:40.6 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,3.698,Global CS,
A,CO,ACOS3,c,ACOS3_a2,,,,,subplot,-105.5904058,40.06130238,3456.915,Global,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-09-29 10:43:43.8 UTC-06:00,2023-09-29 10:43:43.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,4.821,Global CS,
A,CO,ACOS3,d,ACOS3_a3,,,,,subplot,-105.5904085,40.06130567,3456.951,Global,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-09-29 10:43:46.6 UTC-06:00,2023-09-29 10:43:46.6 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,4.575,Global CS,
A,CO,ACOS7,a,ACOS7_a,,,,,subplot,-105.5903783,40.06133144,3456.156,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:44:10.8 UTC-06:00,2023-09-29 10:44:10.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,7.802,Global CS,
A,CO,ACOS7,b,ACOS7_a1,,,,,subplot,-105.5903806,40.06133539,3456.249,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:44:13.2 UTC-06:00,2023-09-29 10:44:13.2 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,7.778,Global CS,
A,CO,ACOS7,c,ACOS7_a2,,,,,subplot,-105.5903666,40.06133519,3456.056,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:44:16.2 UTC-06:00,2023-09-29 10:44:16.2 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,8.877,Global CS,
A,CO,ACOS7,d,ACOS7_a3,,,,,subplot,-105.5903707,40.06134042,3456.125,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:44:20.0 UTC-06:00,2023-09-29 10:44:20.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,8.787,Global CS,
A,CO,ACOS4,a,ACOS4_a,,,,,subplot,-105.5903607,40.06131971,3455.998,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:44:35.8 UTC-06:00,2023-09-29 10:44:35.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,8.896,Global CS,
A,CO,ACOS4,b,ACOS4_a1,,,,,subplot,-105.590363,40.06132351,3456.004,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:44:38.6 UTC-06:00,2023-09-29 10:44:38.6 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,8.791,Global CS,
A,CO,ACOS4,c,ACOS4_a2,,,,,subplot,-105.5903505,40.06132416,3455.829,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:44:41.6 UTC-06:00,2023-09-29 10:44:41.6 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,9.865,Global CS,
A,CO,ACOS4,d,ACOS4_a3,,,,,subplot,-105.5903536,40.06132752,3455.817,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:44:44.8 UTC-06:00,2023-09-29 10:44:44.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,9.694,Global CS,
A,CO,ACOS8,a,ACOS8_a,,,,,subplot,-105.590268,40.06138329,3453.685,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:45:10.2 UTC-06:00,2023-09-29 10:45:10.2 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,19.056,Global CS,
A,CO,ACOS8,b,ACOS8_a1,,,,,subplot,-105.5902716,40.06138758,3453.668,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:45:13.2 UTC-06:00,2023-09-29 10:45:13.2 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,19.014,Global CS,
A,CO,ACOS8,c,ACOS8_a2,,,,,subplot,-105.5902589,40.06138916,3453.376,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 10:45:16.4 UTC-06:00,2023-09-29 10:45:16.4 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,20.084,Global CS,
A,CO,ACOS8,d,ACOS8_a3,,,,,subplot,-105.5902632,40.06139208,3453.288,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:45:19.2 UTC-06:00,2023-09-29 10:45:19.2 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,19.947,Global CS,
A,CO,ACWA,c,ACWA,,,,,itex,-105.5905621,40.06127607,3459.772,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:47:59.8 UTC-06:00,2023-09-29 10:47:59.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,9.435,Global CS,
A,CO,ACWA,b,ACWA1,,,,,itex,-105.5905771,40.06128185,3460.034,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:48:05.8 UTC-06:00,2023-09-29 10:48:05.8 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,10.493,Global CS,
A,CO,ACCA,c,ACCA,,,,,itex,-105.590573,40.06128859,3459.795,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:48:36.0 UTC-06:00,2023-09-29 10:48:36.0 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,9.937,Global CS,
A,CO,ACCA,b,,,,,,itex,,,,,,,,,,,,,,,,,,,,,,,,could not find marker
A,CO,ACWB,c,ACWB,,,,,itex,-105.5904746,40.06131306,3457.951,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 10:49:28.6 UTC-06:00,2023-09-29 10:49:28.6 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,1.416,Global CS,
A,CO,ACWB,b,ACWB1,,,,,itex,-105.5904894,40.06131644,3458.098,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:49:34.0 UTC-06:00,2023-09-29 10:49:34.0 UTC-06:00,1,1.3,,,,-105.590461,40.06130576,3459.777,2.712,Global CS,
A,CO,ACCB,c,ACCB,,,,,itex,-105.5904841,40.0613246,3457.917,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:50:03.4 UTC-06:00,2023-09-29 10:50:03.4 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,2.878,Global CS,
A,CO,ACCB,b,ACCB1,,,,,itex,-105.5904988,40.0613282,3458.14,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 10:50:08.4 UTC-06:00,2023-09-29 10:50:08.4 UTC-06:00,1,1.3,,,,-105.590461,40.06130576,3459.777,4.089,Global CS,
A,CO,ACWC,c,ACWC,,,,,itex,-105.5904047,40.0613328,3456.642,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:50:29.2 UTC-06:00,2023-09-29 10:50:29.2 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,5.797,Global CS,
A,CO,ACWC,b,ACWC1,,,,,itex,-105.5904211,40.06133792,3456.888,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 10:50:34.6 UTC-06:00,2023-09-29 10:50:34.6 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,5.029,Global CS,
A,CO,ACCC,c,,,,,,itex,,,,,,,,,,,,,,,,,,,,,,,,could not find marker
A,CO,ACCC,b,ACCC1,,,,,itex,-105.5904279,40.06134852,3456.854,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:51:17.4 UTC-06:00,2023-09-29 10:51:17.4 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,5.617,Global CS,
