Site,Plot,Name,Point,Original_Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
T,ES,TESS2,a,TESS2_a,,,,,subplot,-105.5823711,40.04999115,3400.486,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:45:48.2 UTC-06:00,2023-09-29 08:45:48.2 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,10.465,Global CS,
T,ES,TESS2,b,TESS2_a1,,,,,subplot,-105.5823654,40.04999304,3400.484,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:45:51.4 UTC-06:00,2023-09-29 08:45:51.4 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,10.335,Global CS,
T,ES,TESS2,c,TESS2_a2,,,,,subplot,-105.5823671,40.049983,3400.328,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 08:45:54.4 UTC-06:00,2023-09-29 08:45:54.4 UTC-06:00,1,1.3,,,,-105.5822951,40.04991788,3401.371,9.538,Global CS,
T,ES,TESS2,d,TESS2_a3,,,,,subplot,-105.5823614,40.04998453,3400.309,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:45:57.0 UTC-06:00,2023-09-29 08:45:57.0 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,9.362,Global CS,
T,ES,TESS6,a,TESS6_a,,,,,subplot,-105.5823381,40.04997613,3400.201,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:46:14.2 UTC-06:00,2023-09-29 08:46:14.2 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,7.478,Global CS,
T,ES,TESS6,b,TESS6_a1,,,,,subplot,-105.5823325,40.04997806,3400.184,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 08:46:18.8 UTC-06:00,2023-09-29 08:46:18.8 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,7.447,Global CS,
T,ES,TESS6,c,TESS6_a2,,,,,subplot,-105.5823327,40.04996808,3400.088,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 08:46:21.8 UTC-06:00,2023-09-29 08:46:21.8 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,6.47,Global CS,
T,ES,TESS6,d,TESS6_a3,,,,,subplot,-105.5823283,40.04996885,3400.004,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:46:24.6 UTC-06:00,2023-09-29 08:46:24.6 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,6.356,Global CS,
T,ES,TESS3,a,TESS3_a,,,,,subplot,-105.582312,40.04986183,3398.02,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:46:47.8 UTC-06:00,2023-09-29 08:46:47.8 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,6.546,Global CS,
T,ES,TESS3,b,TESS3_a1,,,,,subplot,-105.5823061,40.04986322,3398.045,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:46:50.6 UTC-06:00,2023-09-29 08:46:50.6 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,6.299,Global CS,
T,ES,TESS3,c,TESS3_a2,,,,,subplot,-105.5823086,40.04985325,3397.847,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 08:46:53.8 UTC-06:00,2023-09-29 08:46:53.8 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,7.443,Global CS,
T,ES,TESS3,d,TESS3_a3,,,,,subplot,-105.582303,40.04985457,3397.911,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:46:57.0 UTC-06:00,2023-09-29 08:46:57.0 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,7.228,Global CS,
T,ES,TESS7,a,TESS7_a,,,,,subplot,-105.5822888,40.049863,3398.074,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:47:10.2 UTC-06:00,2023-09-29 08:47:10.2 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,6.27,Global CS,
T,ES,TESS7,b,TESS7_a1,,,,,subplot,-105.582283,40.04986418,3398.072,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:47:13.0 UTC-06:00,2023-09-29 08:47:13.0 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,6.207,Global CS,
T,ES,TESS7,c,TESS7_a2,,,,,subplot,-105.5822853,40.04985447,3397.946,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 08:47:16.0 UTC-06:00,2023-09-29 08:47:16.0 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,7.249,Global CS,
T,ES,TESS7,d,TESS7_a3,,,,,subplot,-105.5822796,40.04985521,3397.915,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:47:19.0 UTC-06:00,2023-09-29 08:47:19.0 UTC-06:00,1,1.3,,,,-105.5822951,40.04991788,3401.371,7.249,Global CS,
T,ES,TESS4,a,TESS4_a,,,,,subplot,-105.5822636,40.04977351,3396.014,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:47:41.2 UTC-06:00,2023-09-29 08:47:41.2 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,16.62,Global CS,
T,ES,TESS4,b,TESS4_a1,,,,,subplot,-105.5822577,40.04977455,3396.044,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:47:45.4 UTC-06:00,2023-09-29 08:47:45.4 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,16.59,Global CS,
T,ES,TESS4,c,TESS4_a2,,,,,subplot,-105.5822599,40.04976456,3395.73,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:47:48.6 UTC-06:00,2023-09-29 08:47:48.6 UTC-06:00,1,1.3,,,,-105.5822951,40.04991788,3401.371,17.69,Global CS,
T,ES,TESS4,d,TESS4_a3,,,,,subplot,-105.5822543,40.04976581,3395.854,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:47:52.4 UTC-06:00,2023-09-29 08:47:52.4 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,17.618,Global CS,
T,ES,TESS8,a,TESS8_a,,,,,subplot,-105.582245,40.04978256,3396.199,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:48:09.6 UTC-06:00,2023-09-29 08:48:09.6 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,15.963,Global CS,
T,ES,TESS8,b,TESS8_a1,,,,,subplot,-105.5822386,40.04978361,3396.236,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:48:13.0 UTC-06:00,2023-09-29 08:48:13.0 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,16,Global CS,
T,ES,TESS8,c,TESS8_a2,,,,,subplot,-105.5822407,40.04977385,3395.992,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:48:16.2 UTC-06:00,2023-09-29 08:48:16.2 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,17.015,Global CS,
T,ES,TESS8,d,TESS8_a3,,,,,subplot,-105.5822352,40.04977522,3395.883,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:48:20.6 UTC-06:00,2023-09-29 08:48:20.6 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,17.028,Global CS,
T,ES,TEWA,c,TEWA,,,,,itex,-105.5823005,40.05001726,3400.46,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 08:51:06.8 UTC-06:00,2023-09-29 08:51:06.8 UTC-06:00,1,1.3,,,,-105.5822951,40.04991788,3401.371,11.098,Global CS,
T,ES,TEWA,b,TEWA1,,,,,itex,-105.582296,40.05003049,3400.755,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:51:13.2 UTC-06:00,2023-09-29 08:51:13.2 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,12.581,Global CS,
T,ES,TECA,c,TECA,,,,,itex,-105.582287,40.05002464,3400.431,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 08:51:39.8 UTC-06:00,2023-09-29 08:51:39.8 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,11.923,Global CS,
T,ES,TECA,b,TECA1,,,,,itex,-105.5822785,40.05003584,3400.795,Global,0.01,0.01,0.016,0.014,1.934,m,FIX,2023-09-29 08:51:45.6 UTC-06:00,2023-09-29 08:51:45.6 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,13.252,Global CS,
T,ES,TEWB,c,TEWB,,,,,itex,-105.5822772,40.04996607,3399.769,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:52:04.2 UTC-06:00,2023-09-29 08:52:04.2 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,5.579,Global CS,
T,ES,TEWB,b,TEWB1,,,,,itex,-105.5822709,40.04997748,3399.969,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 08:52:11.0 UTC-06:00,2023-09-29 08:52:11.0 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,6.957,Global CS,
